nome,cnpj,produto,data,preco,bandeira
POSTO GIRASSOL LTDA,01087686000162,ETANOL,24/02/2020,"3,999",IPIRANGA
POSTO HUMAITA LTDA,04319281000109,ETANOL,24/02/2020,"3,999",PETROBRAS DISTRIBUIDORA S.A.
POSTO PIT STOP DUQUE LTDA,24902119000118,ETANOL,24/02/2020,"3,999",PETROBRAS DISTRIBUIDORA S.A.
POSTO TEXAS LTDA,34635144000136,ETANOL,24/02/2020,"3,77",BRANCA
SAITO COMERCIO DE COMBUSTIVEIS LTDA,06217477000100,ETANOL,24/02/2020,"3,999",RAIZEN
JHONY & JOSEMAR X PETROLEUM LTDA,26190733000120,ETANOL,05/02/2020,"3,89",BRANCA
JHONY & JOSEMAR X PETROLEUM LTDA,26190733000120,ETANOL,12/02/2020,"3,89",BRANCA
JHONY & JOSEMAR X PETROLEUM LTDA,26190733000120,ETANOL,19/02/2020,"4,04",BRANCA
JHONY & JOSEMAR X PETROLEUM LTDA,26190733000120,ETANOL,28/02/2020,"4,04",BRANCA
J. E. G. BATISTA,08003016000160,ETANOL,03/02/2020,"4,1",ALESAT
J. E. G. BATISTA,08003016000160,ETANOL,10/02/2020,"4,1",ALESAT
J. E. G. BATISTA,08003016000160,ETANOL,17/02/2020,"4,1",ALESAT
J. E. G. BATISTA,08003016000160,ETANOL,28/02/2020,"4,1",ALESAT
DF COMERCIO DE COMBUSTIVEL LTDA,17372578000171,ETANOL,06/02/2020,"3,89",BRANCA
SUPER POSTO ESTRELA LTDA.,02848944000149,ETANOL,06/02/2020,"3,899",SABBÁ
SUPER POSTO IMPERADOR LTDA,08762127000150,ETANOL,06/02/2020,"3,959",IPIRANGA
SUPER POSTO PALMEIRA LTDA,83838839000120,ETANOL,06/02/2020,"3,899",IPIRANGA
DF COMERCIO DE COMBUSTIVEL LTDA,17372578000171,ETANOL,10/02/2020,"3,89",BRANCA
